1,United States
2,Canada
3,Finland
4,Sweden
5,Norway
6,Germany
7,Poland
8,Switzerland
9,Hungary
10,Czech Republic
11,Austria
12,Denmark
13,Italy
14,Spain
15,Portugal
16,Belgium
17,England
18,Scotland
19,France
20,Netherlands
21,Chile
22,Argentina
23,Brazil
24,Mexico
25,Singapore
26,Hong Kong
27,China
28,South Korea
29,Costa Rica
30,Guatemala
31,Colombia
32,Ecuador
33,Puerto Rico
34,Russia
35,Turkey
36,Paraguay
37,Peru
38,Antarctica
39,Indonesia
40,Malaysia
41,Japan
42,South Africa
43,United Arab Emirates
44,Australia
45,Serbia
46,India
47,New Zealand
48,Romania
49,Greece
50,Bulgaria
51,Israel
52,Croatia
53,Northern Ireland
54,Lithuania
55,Estonia
56,Latvia
57,Venezuela
58,Panama
59,Ireland
60,Iceland
61,Ukraine
62,Slovenia
63,Wales
64,Slovakia
65,Phillippines
66,Thailand
